시설명,분류명,체육시설분류,간이운동장 체육시설분류,소유기관,관리주체,시도명,시군구명,동읍면,리,도로명주소,경도,위도,시설면적,수용인원,관람석,관할지자체과,담당자연락처,홈페이지,개방시간,종료시간,휴무일,대중교통안내,
당감3동네체육시설,,간이,마을공터,,,부산,부산진구,당감동,,부산 부산진구 당감동 당감로 17-1,129.039406,35.163279,0,0,0,부산진구 문화체육과,051-605-4092,,,,,,
연수정경로당,,간이,기타,,,부산,부산진구,당감동,,부산 부산진구 당감동 당감서로146번길 20,129.03227,35.17019,0,0,0,부산진구 문화체육과,051-605-4092,,,,,,
당감4 고목나무쉼터,,간이,기타,,,부산,부산진구,당감동,,부산 부산진구 당감동 당감로25번길 26,129.038253,35.164405,0,0,0,부산진구 문화체육과,051-605-4092,,,,,,
가야1동네체육시설,,간이,기타,,,부산,부산진구,가야동,,부산 부산진구 가야동 엄광로326번나길 35-21,129.042831,35.153662,0,0,0,부산진구청,051-605-4092,,,,,,
가야1치안센터앞 쉼터,,간이,기타,,,부산,부산진구,가야동,,부산 부산진구 가야동 대학로 7,127.136145,36.914779,0,0,0,부산진구 문화체육과,051-605-4092,,,,,,
가야5길 쉼터,,간이,기타,,,부산,부산진구,가야동,,부산 부산진구 가야동 엄광로 322-10,129.04378,35.153866,0,0,0,부산진구 문화체육과,051-605-4092,,,,,,
가평초등학교,,간이,기타,,,부산,부산진구,가야동,,부산 부산진구 가야동 엄광로 75,129.024146,35.14832,0,0,0,부산진구 문화체육과,051-605-4092,,,,,,
가야3동네체육시설,,간이,기타,,,부산,부산진구,가야동,,부산 부산진구 가야동 엄광로238번길 69,129.039806,35.150108,0,0,0,부산진구 문화체육과,051-605-4092,,,,,,
가남초 뒤 쉼터,,간이,기타,,,부산,부산진구,가야동,,부산 부산진구 가야동 엄광로 317,129.043978,35.154435,0,0,0,부산진구 문화체육과,051-605-4092,,,,,,
가남경로당,,간이,기타,,,부산,부산진구,가야동,,부산 부산진구 가야동 가야대로668번길 45,129.04476,35.154119,0,0,0,부산진구 문화체육과,051-605-4092,,,,,,
개금2시영A쌈지공원,,간이,기타,,,부산,부산진구,개금동,,부산 부산진구 개금동 진사로61번길 29,129.017038,35.146611,0,0,0,부산진구 문화체육과,051-605-4092,,,,,,
개금초등학교,,간이,기타,,,부산,부산진구,개금동,,부산 부산진구 개금동 가야대로443번길 25-10,129.019595,35.154524,0,0,0,부산진구 문화체육과,051-605-4092,,,,,,
개금3동네체육시설,,간이,기타,,,부산,부산진구,개금동,,부산 부산진구 개금동 개금본동로66번길 59,129.018339,35.158243,0,0,0,부산진구 문화체육과,051-605-4092,,,,,,
개화초등학교,,간이,기타,,,부산,부산진구,개금동,,부산 부산진구 개금동 개금본동로66번길 12-12,129.0207,35.158575,0,0,0,부산진구 문화체육과,051-605-4092,,,,,,
개금우드빌공원,,간이,기타,,,부산,부산진구,개금동,,부산 부산진구 개금동 백양관문로77번길 56,129.027167,35.163398,0,0,0,부산진구 문화체육과,051-605-4092,,,,,,
명장배수지상부 인라인스케이트장,롤러스케이트장,공공,,부산시,동래구,부산,동래구,명장동,,부산 동래구 명장동 명장로63번나길 24,129.109218,35.207,,,,부산광역시 동래구청,051-550-4344,www.dongnae.go.kr,6:00,23:00,연중무휴,노선버스 155번 오오약국하차 후 혜화여중 방향으로 도보 15분,
부산환경공단수영환경공원(인조축구장),축구장,공공,,부산광역시,부산환경공단수영사업소,부산,동래구,안락동,,부산 동래구 안락동,129.113934,35.187509,,,,부산환경공단수영사업소,051-761-2633,www.beco.go.kr,6:00,20:00,연중무휴,"ㆍ노선버스 (하차후 도보로 5분) * 버스노선 검색(http://bus.busan.go.kr/)     - 토곡한양아파트 정류소하차 : 42, 49-1, 57, 86, 87, 210    - 삼성여객차고지 정류소하차 : 586    ㆍ택시 토곡사거리 삼성여객차고지 뒤 경동레미콘 옆 부산환경공단 (구, 수영하수종말처리장)",
동래구 클린센터 앞,,간이,기타,,,부산,동래구,안락동,,부산 동래구 안락동 삼어로 18,129.11421,35.199491,0,0,0,동래구 교육정보과,051-550-4344,http://www.dongnae.go.kr,0:00,23:00,,,
수영강 둔치체육시설,,간이,고수부지,,,부산,동래구,안락동,,부산 동래구 안락동 명장로 185,129.113333,35.195801,0,0,0,동래구 교육정보과,051-550-4344,http://www.dongnae.go.kr,0:00,23:00,,,
부산환경공단수영환경공원(테니스장)★,간이운동장,기타,,부산광역시,부산환경공단수영사업소,부산,동래구,안락동,,부산 동래구 안락동 온천천남로 185,129.111837,35.189061,,,,부산환경공단수영사업소,051-761-2633,www.beco.go.kr,6:00,20:00,무휴,"ㆍ노선버스 (하차후 도보로 5분) * 버스노선 검색(http://bus.busan.go.kr/)     - 토곡한양아파트 정류소하차 : 42, 49-1, 57, 86, 87, 210    - 삼성여객차고지 정류소하차 : 586    ㆍ택시 토곡사거리 삼성여객차고지 뒤 경동레미콘 옆 부산환경공단 (구, 수영하수종말처리장)",
부산환경공단수영환경공원(농구장)★,간이운동장,기타,,부산광역시,부산환경공단수영사업소,부산,동래구,안락동,,부산 동래구 안락동,129.1125,35.187984,,,,부산환경공단수영사업소,051-761-2633,www.beco.go.kr,6:00,20:00,무휴,"ㆍ노선버스 (하차후 도보로 5분) * 버스노선 검색(http://bus.busan.go.kr/)     - 토곡한양아파트 정류소하차 : 42, 49-1, 57, 86, 87, 210    - 삼성여객차고지 정류소하차 : 586    ㆍ택시 토곡사거리 삼성여객차고지 뒤 경동레미콘 옆 부산환경공단 (구, 수영하수종말처리장)",
온천천변 간이운동시설,,간이,고수부지,,,부산,동래구,수안동,,부산 동래구 수안동 온천천로 288,129.084991,35.195424,0,0,0,동래구청 녹지과,051)550-4742,http://oncheon.dongnae.go.kr,0:00,0:00,,부산도시철도 1호선 동래지하철,
도림사옆 동네체육시설,,간이,기타,,,부산,동래구,명륜동,,부산 동래구 명륜동 명륜로218번길 47,129.085601,35.213069,0,0,0,동래구청 교육정보과,051-550-4344,http://www.dongnae.go.kr,0:00,23:00,,,
온천천 시민공원 인라인스케이트장(동래구),롤러스케이트장,공공,,동래구,동래구,부산,동래구,온천동,,부산 동래구 명륜동,129.078589,35.208641,,,,동래구청,051-550-4741,oncheon.dongnae.go.kr/,7:00,23:00,연중무휴,"지하철1호선/명륜지하철역 2번 출구로 나오셔서 동래지하철역 방향으로 도보 3분  버스/ 130번, 144번, 189번 명륜지하철역 정류소 하차하여 지하철 2번 출구로 나오셔서 도보 3분",
사직 종합운동장 야구장,야구장,공공,,부산시,체육시설관리사업소,부산,동래구,사직동,,부산 동래구 사직동 사직로 45,127.917893,36.96727,,,,체육시설관리사업소,051-505-7422,stadium.busan.go.kr/00_main/,13:00,19:00,씨즌중 주말운영 : 11:00-17:00  비씨즌 : 13:00-17:00  월요일 휴관,"버스 : 10-1, 12, 19, 44, 50, 57, 80-1, 111-2, 131, 189-1, 1002번  지하철 : 3호선 종합운동장역 하차(9번 출구) 또는 3호선 사직역 하차(1번 출구)  마을버스 : 동래구10번, 부산진17번  경부고속도로 이용시 : 경부고속도로 - 구서 I.C - 송월타올삼거리(우회전) - 부산종합운동장  남해고속도로 이용시 : 남해고속도로 - 북부산진입 - 제2낙동교 - 만덕터널 - (구)부산백화점- 부산종합운동장  김해공항 이용시 : 구포대교방향 - 만덕터널 - (구)부산백화점 - 부산종합운동장(사직운동장)  열차(부산역) 이용시 : 지하철 1호선 부산역 승차 - 연산역에서 3호선 환승 - 3호선 종합운동장역 하차(9번 출구)  고속버스 이용시 : 지하철 1호선 노포동역 승차 - 연산역에서 3호선 환승 - 3호선 종합운동장역 하차(9번 출구)",
사직 종합운동장 테니스장,테니스장,공공,,부산시,체육시설관리사업소,부산,동래구,사직동,,부산 동래구 사직동 종합운동장로 29,129.063412,35.192773,,,,체육시설관리사업소,051-504-2228,stadium.busan.go.kr/02sportinfo/01_01_09.jsp,6:00,19:00,동절기 : 07:00~17:00  야간(22:00까지),"-버스 : 10-1, 12, 19, 44, 50, 57, 80-1, 111-2, 131, 189-1, 1002번  -지하철 : 3호선 종합운동장역 하차(9번 출구) 또는 3호선 사직역 하차(1번 출구)  -마을버스 : 동래구10번, 부산진17번  -경부고속도로 이용시 : 경부고속도로 - 구서 I.C - 송월타올삼거리(우회전) - 부산종합운동장  -남해고속도로 이용시 : 남해고속도로 - 북부산진입 - 제2낙동교 - 만덕터널 - (구)부산백화점- 부산종합운",
종합운동장 수영장,수영장,공공,,부산시,체육시설관리사업소,부산,동래구,사직동,,부산 동래구 사직동 종합운동장로 29,129.063412,35.192773,,,,체육시설관리사업소,051-500-2125,stadium.busan.go.kr/00_main/,6:00,21:00,"매주 월요일, 설날 및 추석연휴  휴장","-버스 : 10-1, 12, 19, 44, 50, 57, 80-1, 111-2, 131, 189-1, 1002번  -지하철 : 3호선 종합운동장역 하차(9번 출구) 또는 3호선 사직역 하차(1번 출구)  -마을버스 : 동래구10번, 부산진17번  -경부고속도로 이용시 : 경부고속도로 - 구서 I.C - 송월타올삼거리(우회전) - 부산종합운동장  -남해고속도로 이용시 : 남해고속도로 - 북부산진입 - 제2낙동교 - 만덕터널 - (구)부산백화점- 부산종합운",
사직종합운동장 실내체육관,구기체육관,공공,,부산시,체육시설관리사업소,부산,동래구,사직동,,부산 동래구 사직동 사직로 45,127.917893,36.96727,,,,체육시설관리사업소,051-500-2121,stadium.busan.go.kr,9:00,18:00,연중무휴,"* 마을버스 부산진17번, 동래10번 버스  * 지하철3호선 종합운동장역 9번출구,  * 시내버스 44, 50, 57, 80-1, 111-2, 131",
산101번지(경성대 뒷산),,간이,체육공원,,,부산,남구,대연동,,부산 남구 대연동 수영로 309,129.100098,35.13844,0,0,0,,,,,,,,
산54-48번지(황령산 임도교차지점),,간이,기타,,,부산,남구,대연동,,부산 남구,129.081189,35.155058,0,0,0,,,,,,,,
산36번지(황령산 임도변),,간이,체육공원,,,부산,남구,대연동,,부산 남구,129.092607,35.144182,0,0,0,,,,,,,,
산59번지(기독교 송신소 앞),,간이,기타,,,부산,남구,용호동,,부산 남구 용호동 동명로101번길 37-13,129.106796,35.121656,0,0,0,,,,,,,,
부산환경공단남부사업소체육공원(인조축구장),축구장,공공,,부산시,부산환경공단 남부사업소,부산,남구,용호동,,부산 남구 용호동 이기대공원로 11,129.114462,35.124104,,,,부산환경공단남부사업소,051-625-1061,www.beco.go.kr,9:00,18:00,무휴,"■ 대중교통  - 지하철 2호선 : 경성대 부경대역(5번출구) 하차후 20, 22, 24, 27, 131 버스 환승(성모병원 앞)",
백운포 체육공원 테니스장,테니스장,공공,,남구,남구,부산,남구,용호동,,부산 남구 용호동 백운포로 108,129.109633,35.104063,,,,직영,051-607-6365,www.bsnamgu.go.kr,5:00,22:00,연중(우천시 노면상태확인),"-지하철 2호선 경성대 부경대역(5번출구) 하차 후 20,22,24,27,39,131번 버스환승(백운포 하차)",
백운포 체육공원(천연잔디구장),축구장,공공,,남구,남구,부산,남구,용호동,,부산 남구 용호동 백운포로 108,129.109633,35.104063,,,,직영,051-607-6365,www.bsnamgu.go.kr,5:00,18:00,연중무휴,"-지하철 2호선 경성대.부경대역(5번출구)하차후 20,22,24,27,39,131번 버스환승(백운포 하차)",
백운포체육공원 (인라인스케이트장),롤러스케이트장,공공,,남구,남구,부산,남구,용호동,,부산 남구 용호동 백운포로 108,129.109633,35.104063,,,,부산 남구청 직영,051-607-6365,www.bsnamgu.go.kr,5:00,22:00,휴관 없음,"지하철 2호선 경성대 부경대역 하차(5번출구) 20, 22, 24, 27, 131버스환승(백운포하차)",
남구국민체육센터,생활체육관,공공,,남구,부산광역시 남구청,부산,남구,용호동,,부산 남구 용호동 백운포로 110,129.108202,35.103883,,,,지자체운영,051-626-8200,www.namgusports.or.kr,6:00,22:00,"두번째 월요일,  네번째 화요일","■ 대중교통  - 버스노선 : 39번 센터 앞 경유                      - 지하철 2호선 : 경성대 부경대역(5번출구) 하차후 20, 22, 24, 27, 131 버스 환승(백운포 하차)",
부산환경공단남부사업소체육공원(풋살경기장)★,간이운동장,기타,,부산광역시,부산환경공단남부사업소,부산,남구,용호동,,부산 남구 용호동 이기대공원로 11,129.114462,35.124104,,,,부산환경공단남부사업소,051-625-1062,www.beco.go.kr,9:00,18:00,휴관없음,"■ 대중교통  - 지하철 2호선 : 경성대 부경대역(5번출구) 하차후 20, 22, 24, 27, 131 버스 환승(이기대입구하차)",
백운포체육공원(풋살구장),풋살경기장,공공,,남구,남구,부산,남구,용호동,,부산 남구 용호동 백운포로 108,129.109633,35.104063,,,,직영,051-607-6365,,5:00,22:00,휴관없음,"지하철 2호선 경성대 부경대역 하차(5번출구) 20, 22, 24, 27, 131버스환승(백운포하차)",
백운포체육공원(인조축구장),축구장,공공,,남구,남구,부산,남구,용호동,,부산 남구 용호동 백운포로 108,129.109633,35.104063,,,,직영,051-607-6365,www.bsnamgu.go.kr,5:00,22:00,휴관없음,"지하철 2호선 경성대 부경대역5번출구) 하차후 20, 22, 24, 27, 131번 버스환승(백운포 하차)",
부산환경공단남부사업소체육공원(테니스장)★,간이운동장,기타,,부산광역시,부산환경공단남부사업소,부산,남구,용호동,,부산 남구 용호동 이기대공원로 11,129.114462,35.124104,,,,부산환경공단 남부사업소,051-625-1061,www.beco.go.kr,9:00,18:00,휴관없음,"■ 대중교통  - 지하철 2호선 : 경성대 부경대역(5번출구) 하차후 20, 22, 24, 27, 131 버스 환승(이기대입구하차)",
산54-53번지(조림지 정상),,간이,체육공원,,,부산,남구,감만동,,부산 남구,129.08001,35.121672,0,0,0,,,,,,,,
산158-2번지(우룡산 우룡정),,간이,체육공원,,,부산,남구,감만동,,부산 남구,129.081727,35.130961,0,0,0,,,,,,,,
금곡동 주공 아파트 1단지,,간이,아파트,,,부산,북구,금곡동,,부산 북구 금곡동 효열로 268-1,129.018898,35.267361,0,0,0,북구청,309-4124,,,,,111번 버스 금곡동 111번 버스종점 옆 주공1단지 105동 앞,
북구 국민체육센터,생활체육관,공공,,부산광역시 북구,부산광역시체육회,부산,북구,화명동,,부산 북구 화명동 화명대로94번길 83,129.01738,35.23094,,,,부산광역시 북구,051-365-7070,bukgusports.com,6:00,22:00,"매월 1,3주 수요일  1월1일, 설연휴, 추석연휴","지하철  2호선(화명)   버스     북구7, 금정구1, 북구3              59, 111, 121, 126, 15, 21, 23, 23-15, 24, 63 , 1009",
화명1동 동원 아파트 뒤,,간이,기타,,,부산,북구,화명동,,부산 북구,129.017686,35.229019,0,0,0,북구청,309-4124,,,,,와석초등학교옆 등산로에서 70m정도 올라가서 오른쪽260m,
만덕1동 상학산 배드민턴장,,간이,기타,,,부산,북구,만덕동,,부산 북구 만덕동 상학산복길 195,129.040562,35.218475,0,0,0,북구청,309-4124,,,,,상학초등학교 뒤,
만덕2동 백수정 약수터,,간이,약수터,,,부산,북구,만덕동,,부산 북구,129.037278,35.200872,0,0,0,북구청,309-4124,,,,,만덕고등학교 옆 공터에서 산길700M,
백양생활체육관,생활체육관,공공,,북구,위탁(사단법인 부산체육지도자협의회),부산,북구,만덕동,,부산 북구 만덕동 은행나무로 26,129.0378,35.207243,,,,(사)부산체육지도자협의회,051-309-4129,,7:00,22:00,명절 연휴 휴관,"버스 133번 이용, 만덕주공아파트 정류소 하차 후 백양초등학교 방면으로 도보 5분",
만덕1동 청룡사 약수터,,간이,약수터,,,부산,북구,만덕동,,부산 북구 만덕동 만덕고개길 143-79,129.049254,35.220863,0,0,0,북구청,309-4124,,,,,상학초등학교 정문 옆에서 등산로로 10분정도,
만덕2동 백양근린공원,,간이,도시공원,,,부산,북구,만덕동,,부산 북구 만덕동 은행나무로 26,129.0378,35.207243,0,0,0,북구청,309-4124,,,,,만덕디지털도서관 위 백양어린이 공원놀이터에서 우측 등산로로 150M,
만덕1동 상학 초등학교 뒤,,간이,기타,,,부산,북구,만덕동,,부산 북구 만덕동 상학산복길 195,129.040562,35.218475,0,0,0,북구청,309-4124,,,,,상학초등학교 뒤,
만덕2동 백양생활체육관 옆,,간이,도시공원,,,부산,북구,만덕동,,부산 북구 만덕동 은행나무로 26,129.0378,35.207243,0,0,0,북구청,309-4124,,,,,백양생활체육관 옆,
만덕2동 백양 근린공원 동쪽,,간이,마을공터,,,부산,북구,만덕동,,부산 북구 만덕동 은행나무로36번가길 24,129.039141,35.205552,0,0,0,북구청,309-4124,,,,,만덕디지털도서관 위 사거리에서 오른쪽으로 50M,
덕천2동 문화 빙상센터 입구,,간이,마을공터,,,부산,북구,덕천동,,부산 북구 덕천동 금곡대로46번길 50,129.005475,35.213478,0,0,0,북구청,309-4124,,,,,문화빙상센터 입구,
부산실내빙상장,빙상장,공공,,부산시,북구청,부산,북구,덕천동,,부산 북구 덕천동 금곡대로46번길 50,129.005475,35.213478,,,,부산광역시 북구청,051-309-4081,culture-ice.bsbukgu.go.kr,9:00,18:00,"매주 월요일 정기휴장(단, 방학 중에는 매일 개장)","버스(33,110,120,130,133,148,160,169,200,307) 덕천교차로        (15,59,111,121,126) 북구문화빙상센터  지하철 2호선 덕천역 10번 출구",
화명생태공원 인라인스케이트장,롤러스케이트장,공공,,부산시,낙동강사업본부,부산,북구,덕천동,,부산 북구 덕천동,129.004198,35.224759,,,,낙동강사업본부,051-310-6036,nakdong.busan.go.kr,9:00,18:00,연중무휴,"시내버스 : 15번, 59번, 111번, 121번 지하철 수정역 하차, 낙동강변 방향 도보 10분   지하철 : 지하철 2호선 수정역 하차, 낙동강변 방향 도보 10분",
구포2동 거북바위,,간이,기타,,,부산,북구,구포동,,부산 북구,129.00064,35.193192,0,0,0,북구청,309-4124,,,,,구포도서관 뒷편 등산로 입구에서 윗쪽으로 도보 25분정도,
구포1동 양덕여중 뒤,,간이,기타,,,부산,북구,구포동,,부산 북구,129.01975,35.190415,0,0,0,북구청,309-4124,,,,,양덕여중입구에서 엄정약수터를 거쳐 만남의 광장 등산로로 총720m,
보경사 뒤 안부,,간이,기타,,,부산,해운대구,반송동,,부산 해운대구 반송동 반송순환로72번길 12-8,129.150403,35.219421,0,0,0,해운대구청,517494545,,,,,,
보경사 뒤 등산로,,간이,기타,,,부산,해운대구,반송동,,부산 해운대구 반송동 반송순환로72번길 12-8,129.150403,35.219421,0,0,0,해운대구청,517494545,,,,,,
소공원,,간이,기타,,,부산,해운대구,반여동,,부산 해운대구 반여동 재반로255번길 30,129.129822,35.200349,0,0,0,해운대구청,517494545,,,,,,
반여종합사회복지관 쌈지공원,,간이,기타,,,부산,해운대구,반여동,,부산 해운대구 반여동 재반로226번길 13-73,129.131894,35.198291,0,0,0,해운대구청,517494531,,,,,,
반석초쌈지공원,,간이,기타,,,부산,해운대구,반여동,,부산 해운대구 반여동 선수촌로207번길 14,129.124981,35.211403,0,0,0,해운대구청,517494531,,,,,,
고씨제당 약수터,,간이,약수터,,,부산,해운대구,재송동,,부산 해운대구 재송동 재반로60번길 46-15,129.128857,35.185238,0,0,0,해운대구청,517494545,,,,,,
부산 올림픽기념 국민생활관,생활체육관,공공,,부산시,위탁(부산사회체육센터),부산,해운대구,우동,,부산 해운대구 우동 APEC로 68,129.147917,35.174388,,,,재단법인 부산사회체육센터,051-744-1181,www.saba.or.kr,6:00,23:00,홀수달 마지막 주 목요일  짝수달 마지막 주 수요일,지하철:  2호선 시립미술관역 5번출구  일반버스: 5-1 31 36 40 63 100 109 139 140  좌석버스: 302 307  240,
부산 요트경기장,요트장,공공,,부산시,체육시설관리사업소,부산,해운대구,우동,,부산 해운대구 우동 해운대해변로 84,129.141958,35.1598,,,,체육시설관리사업소요,051-741-6440,stadium.busan.go.kr,6:00,18:00,연중무휴,"버스 : 5, 31, 36, 38, 39, 40, 63, 100, 100-1, 115-1, 139, 141(심야), 181, 201, 1001, 1003(심야)외  지하철 : 2호선 동백역 3번출구",
부산한마음 스포츠센터,생활체육관,공공,,부산시,위탁(시설공단),부산,해운대구,좌동,,부산 해운대구 좌동 세실로 175,129.176686,35.180397,,,,부산시설공단,051-709-0700,hmsports.bisco.or.kr/,6:00,22:00,"매주 일요일, 공휴일","버스 : 5, 36, 38, 40, 100-1, 115-1, 181, 1001(급행버스) - 대동상가   지하철 : 장산역 4번출구 도보 20분 거리",
장산인조잔디축구장,축구장,공공,,해운대구,해운대구,부산,해운대구,좌동,,부산 해운대구 좌동 대천로67번길 48,129.16517,35.174407,,,,해운대구생활체육회,051-704-5010,,6:00,18:00,상시개방,해운대구 장산지하철역  115-1(해운대구 반송동) &amp;lt;-&amp;gt; 부산광역시 기장군,
을숙도 롤러스케이트장,롤러스케이트장,공공,,사하구,위탁(개인),부산,사하구,하단동,,부산 사하구 하단동 낙동남로1233번길 38,128.947927,35.110786,,,,개인위탁,051-291-0118,,10:00,21:00,"연중 휴관 없음, 우천시 시설 사용 못함","[버스번호] : 58-2 [종점]  : 용원 &amp;lt;-&amp;gt; 사하구청 [경유지] : 용원사거리, 경제자유구청, 삼성전기 정문, 르노삼성자동차 남문,     을숙도휴게소, 하단지하철",
을숙도 인조잔디 축구장,축구장,공공,,수자원공사국유,사하구,부산,사하구,하단동,,부산 사하구 하단동 낙동남로1233번길 59,128.948744,35.111753,,,,사하구,051-220-4084,www.saha.go.kr/rbs2/modules/freeForm/view.php?rbsIdx=UR_1_400,6:00,18:00,매주 월요일은 구장정비관계로 운영하지 않음,"버스번호] : 58-2 [종점]  : 용원 &amp;lt;-&amp;gt; 사하구청 [경유지] : 용원사거리, 경제자유구청, 삼성전기 정문, 르노삼성자동차 남문,     을숙도휴게소, 하단지하철",
을숙도 리틀야구장★,간이운동장,기타,,부산광역시 사하구,사하구청 총무과,부산,사하구,하단동,,부산 사하구 하단동 낙동남로1233번길 34,128.946982,35.110895,,,,사하구청 총무과,051-220-4838,,8:00,18:00,매주월요일,을숙도휴게소 하차후 420m   220번 (율하교.사구마을.사취동) 58번 58-2번 221번 58-1번 강서구10번 강서구12번 강서구13번 강서구14번 강서구15번 강서구16번 강서구17번 강서구20번 강서구3번 강서구7번 강서구9번 강서구9-1번 강서구9-2번,
사하구국민체육센터,,기금,,,,부산,사하구,감천동,,부산 사하구 감천동 감천로 68,128.516311,35.205804,0,0,0,,,,,,,,
사하구 국민체육센터,생활체육관,공공,,사하구,위탁,부산,사하구,감천동,,부산 사하구 감천동 감천로 68,128.516311,35.205804,,,,사하구청,051-203-4343,www.sahasports.com,6:00,22:00,"매월 두번째 월요일, 네번째 화요일  1월1일, 설날, 추석연휴","[버스번호] : 16번[종점]  : 엄궁 &amp;lt;-&amp;gt; 구덕운동장  [경유지] : 사하구청, 괴정사거리, 삼성여고, 부일전자디자인학교, 고신대학교복음병원  [버스번호] : 161번[종점]  : 신평 &amp;lt;-&amp;gt; 서부버스터미널  [경유지] : 사하경찰서, 남부주유소, 장림시장                     61번[종점]  : 신평 &amp;lt;-&amp;gt; 서부버스터미널  [경유지] : YK스틸, 감천삼거리, 고신의료원,",
부산지방공단스포원 실내체육관 수영장,수영장,공공,,부산시,부산지방공단스포원,부산,금정구,두구동,,부산 금정구 두구동 체육공원로399번길 324,129.107043,35.289121,,,,부산지방공단스포원 스포츠센터,051-550-1423,www.spo1.co.kr,6:00,22:00,"매월 둘째, 넷째 월요일 휴무","[버스번호] : 2-2,2-3 [마을버스]  :범어사 &amp;lt;-&amp;gt; 철마면 송정리  [경유지] : 노포동 지하철역, 금정체육공원  [지하철]노포동 지하철역(1호선) 하차  도보 20분",
금정구테니스장,,간이,고수부지,,,부산,금정구,두구동,,부산 금정구,129.105205,35.285462,0,0,0,금정구청,051-519-4121,,,,,,
부산지방공단스포원 경륜경기장,싸이클경기장,공공,,부산시,부산지방공단스포원,부산,금정구,두구동,,부산 금정구 두구동 체육공원로399번길 324,129.107043,35.289121,,,,부산지방공단스포원,051-550-1531,www.spo1.co.kr,10:00,19:30,매주 월~목요일 휴무,"[버스번호] : 2-2,2-3 마을버스  : 범어사 &amp;lt;-&amp;gt; 철마면 송정리  [경유지] : 노포동지하철역, 두구동 금정체육공원   [지하철] : 1호선 종점 노포동역 하차 도보 20분",
스포원 골프연습장,골프연습장,공공,,부산시,부산지방공단스포원,부산,금정구,두구동,,부산 금정구 두구동 체육공원로399번길 324,129.106109,35.291296,,,,강귀련((개인임대사업자),051-550-1407,www.spo1.co.kr,6:00,0:00,매월 둘째 넷째 월요일,"2-2,2-3 (마을버스): 범어사  : 철마면  [경유지] : 노포동 지하철역, 금정체육공원  (지하철): 1호선 노포동역 하차  20분 도보",
"스포원 축구장,스포원 축구장",축구장,공공,,부산시,부산지방공단스포원,부산,금정구,두구동,,부산 금정구 두구동 체육공원로399번길 324,0,0,0,0,0,부산지방공단스포원 스포츠마케팅추진단,051-550-1888,www.spo1.co.kr/,6:00,23:00,연중무휴,"[버스번호] : 마을버스 2-2, 2-3  : 범어사 &amp;lt;-&amp;gt; 철마면 송정리 [경유지] : 노포동 지하철역, 두구동 금정체육공원 경유  [지하철] : 노포동[종점] 하차후 울산방면 도보 20분 거리",
두구동게이트볼장,,간이,마을공터,,,부산,금정구,두구동,,부산 금정구 두구로33번길 202|체육공원로537번길 42,129.106861,35.283207,0,0,0,금정구청,051-519-4121,,,,,,
부산지방공단스포원 실내체육관,구기체육관,공공,,부산시,부산지방공단스포원,부산,금정구,두구동,,부산 금정구 두구동 체육공원로399번길 324,129.107043,35.289121,,,,부산지방공단스포원 스포츠센터,051-550-1423,www.spo1.org/?cmd=LoginUser&amp;sitecd=&amp;postcd=&amp;logType=SSO&amp;type=,6:00,22:00,"2,4주 월요일","[버스번호] : 마을버스 2-2,2-3   : 범어사&amp;lt;-&amp;gt; 철마면 송정리  [경유지] : 노포동지하철역, 두구동 금정체육공원 입구  [지하철] : 노포동[종점] :  하차후 울산방면 도보 20분",
부산지방공단스포원 테니스장,테니스장,공공,,부산시,부산지방공단스포원,부산,금정구,두구동,,부산 금정구 두구동 체육공원로399번길 324,129.107043,35.289121,,,,부산지방공단스포원스포츠마케팅추진단,051-550-1773,www.spo1.co.kr,6:00,22:00,연중 무휴운영,"[버스번호] : 마을버스 2-2, 2-3  : 범어사 &amp;lt;-&amp;gt; 철마면송정리  [경유지] : 노포동지하철역, 두구동 금정체육공원입구  [지하철] : 1호선 노포동 종점 하차후 울산방면 도보 20분",
노포동동네체육시설,,간이,기타,,,부산,금정구,노포동,,부산 금정구 작장1길 143,129.087155,35.284847,0,0,0,금정구청,051-519-4121,,,,,,
노포동동네체육시설,,간이,체육공원,,,부산,금정구,노포동,,부산 금정구 노포동 작장1길 143,129.087929,35.284702,,,,,,,,,,,
노포동차량기지창 축구장,축구장,공공,,부산시,부산교통공사,부산,금정구,노포동,,부산 금정구 노포동 중앙대로 2238,129.095481,35.284687,,,,부산교통공사,051-509-4307,www.humetro.busan.kr/korea/05/02_02_03.php,9:00,18:00,6.1~10.31까지 개방,지하철 1호선 노포동 역 하차 -&amp;gt; 도보 10분 (안내판 유)  (부산종합터미날),
수영강상류동네체육시설,,간이,고수부지,,,부산,금정구,노포동,,부산 금정구,129.101844,35.290197,0,0,0,금정구청,051-519-4121,,,,,,
작장마을동네체육시설,,간이,도시공원,,,부산,금정구,노포동,,부산 금정구,129.093216,35.283354,0,0,0,금정구청,051-519-4121,,,,,,
수영천상류게이트볼장,,간이,기타,,,부산,금정구,노포동,,부산 금정구,129.104185,35.284236,0,0,0,금정구청,051-519-4121,,,,,,
놀이마당로동네체육시설,,간이,도시공원,,,부산,금정구,청룡동,,부산 금정구,129.08707,35.275981,0,0,0,금정구청,051-519-4121,,,,,,
청룡동주민쉼터동네체육시설,,간이,도시공원,,,부산,금정구,청룡동,,부산 금정구,129.088762,35.278529,0,0,0,금정구청,051-519-4121,,,,,,
